2025-09-06 20:39:05 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 2 falló, reintentando en 2s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgturismo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbe270>: Failed to resolve 'www.gobiernodecanarias.orgturismo' ([Errno -2] Name or service not known)"))
2025-09-06 20:39:07 | DEBUG | canarias_scraper.GobcanScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.orgturismo/
2025-09-06 20:39:07 | [33mWARNING[0m | canarias_scraper.GobcanScraper | _make_request:147 | Error de conexión: https://www.gobiernodecanarias.orgturismo/
2025-09-06 20:39:07 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 3 falló, reintentando en 4s: HTTPSConnectionPool(host='www.gobiernodecanarias.orgturismo', port=443): Max retries exceeded with url: / (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x719bafdbdcd0>: Failed to resolve 'www.gobiernodecanarias.orgturismo' ([Errno -2] Name or service not known)"))
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | main:356 | Configuración del sistema:
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | main:357 |   Directorio de salida: ./documents
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | main:358 |   Nivel de log: DEBUG
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | main:359 |   Máx. reintentos: 3
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | main:360 |   Timeout: 30s
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | run_scraping:59 | Iniciando sistema de scraping PYME Canarias
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | run_scraping:60 | Configuración: 10 instituciones disponibles
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | run_scraping:65 | Procesando 10 instituciones
2025-09-06 20:42:27 | [32mINFO[0m | canarias_scraper | _process_institution:101 | Procesando institución: hacienda_canarias
2025-09-06 20:42:27 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _setup_session:58 | Sesión HTTP configurada correctamente
2025-09-06 20:42:27 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _check_robots_txt:79 | No se pudo cargar robots.txt: 'utf-8' codec can't decode byte 0xf3 in position 84: invalid continuation byte
2025-09-06 20:42:27 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.org/hacienda
2025-09-06 20:42:27 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:115 | User-Agent rotado
2025-09-06 20:42:28 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:136 | Petición exitosa: https://www.gobiernodecanarias.org/hacienda - Status: 200
2025-09-06 20:42:28 | [31mERROR[0m | canarias_scraper.HaciendaCanariasScraper | _make_request:155 | Error inesperado en petición https://www.gobiernodecanarias.org/hacienda: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:28 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 1 falló, reintentando en 1s: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:29 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.org/hacienda
2025-09-06 20:42:29 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:115 | User-Agent rotado
2025-09-06 20:42:29 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:136 | Petición exitosa: https://www.gobiernodecanarias.org/hacienda - Status: 200
2025-09-06 20:42:29 | [31mERROR[0m | canarias_scraper.HaciendaCanariasScraper | _make_request:155 | Error inesperado en petición https://www.gobiernodecanarias.org/hacienda: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:29 | [33mWARNING[0m | canarias_scraper.retry | wrapper:25 | Intento 2 falló, reintentando en 2s: 'ScrapingConfig' object has no attribute 'REQUEST_DELAY'
2025-09-06 20:42:31 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:110 | Realizando petición GET: https://www.gobiernodecanarias.org/hacienda
2025-09-06 20:42:31 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:115 | User-Agent rotado
2025-09-06 20:42:31 | DEBUG | canarias_scraper.HaciendaCanariasScraper | _make_request:136 | Petición exitosa: https://www.gobiernodecanarias.org/hacienda - Status: 200
